Sample.ID,Size,Diet,Genus,Species,Genus.modif,Species.modif,Body size,Museum.ID,Site.Name,Level.Age,Age,age,age estimate,Note.age,Age.Category,Tray,Tray.ID,Weight,d15N,d13C,d13C.enamel,d180.enamel,X.N,X.C,C.N,commnets,analyzed.at.UNM.publication
908-341,Large,Carnivore,Canis,latrans,Canis,latrans,13406,TMM,Kincaid Shelter,"Zone 5, Square A-B, 8-9",,,7000,,Holocene,6,A5,0.564,11.4,-10.1,,,14.6,42.9,2.9,,x
1018-71,Large,Herbivore,Bison,bison,Bison,bison,579255,TMM,Sitter Ranch,,,,,,,4,D9,0.595,6.3,-10.1,,,14.1,43.1,3.1,,x
908-1937,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,"Zone 6, Square A-G, 6-7",Holocene,,3000,,Holocene,5,C4,0.531,5.3,-10,,,15.4,45.4,2.9,,x
908-259,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,"Zone 6, Square A-B, 7-8",,,3000,,Holocene,4,D11,0.527,5.5,-10,,,15.4,44.5,2.9,,x
908-3364,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,"Zone 6, Square C-D, 8-9",,,3000,,Holocene,5,F6,0.554,5.5,-10,,,15.8,43.5,2.8,,x
908-2220,Large,Carnivore,Canis,latrans,Canis,latrans,13406,TMM,Kincaid Shelter,zone 6,,,3000,,Holocene,1,E1,0.598,9.7,-10,,,15.7,43.2,2.8,,x
40450-2554,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Cave Without A Name,Late Pleistocene,Terminal.Pleistocene,13000,13000,assigned 13ka,Pleistocene,5,B2,0.535,9.1,-9.9,,,10.6,32.2,3,,x
41229-17108,Small,Herbivore,Sylvilagus,,Sylvilagus,,1173,TMM,Hall's Cave,055-060,,,4422,,Holocene,3,F1,0.58,6.8,-9.9,,,9.5,28.6,3,,x
41229-10796,Large,Herbivore,Equus,,Equus,sp.,400000,TMM,Halls Cave,Pit 1D/E,Holocene,11503.5,11503.5,,Pleistocene,2,A6,0.286,7.9,-9.9,,,16.3,44.8,2.7,,x
908-3438,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,"Zone 5?6, Square C-D, 7-8",,,7000,,Holocene,6,B2,0.519,6.7,-9.9,,,13.9,42.1,3,,x
908-832,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,"Zone 6, Square B-C, 7-8",Holocene,,3000,,Holocene,5,A8,0.57,5.7,-9.7,,,14.7,45.4,3.1,,x
